commonName,network_matched_filter_snr,p_astro,p_astro_binary
GW150914,26.0,1.0,1
GW151012,10.0,1.0,1
GW151226,13.1,1.0,1
GW170104,13.8,1.0,1
GW170608,15.4,1.0,1
GW170729,10.8,0.98,0
GW170809,12.8,1.0,1
GW170814,17.7,1.0,1
GW170817,33.0,1.0,1
GW170818,12.0,1.0,1
GW170823,12.2,1.0,1
GW190403_051519,7.6,0.60924,0
GW190408_181802,14.6,1.0,1
GW190412,19.8,1.0,1
GW190413_052954,9.0,0.9275,0
GW190413_134308,10.6,0.99058,1
GW190421_213856,10.7,0.99792,1
GW190425,12.4,0.78349,0
GW190426_190642,8.7,0.75053,0
GW190503_185404,12.2,1.0,1
GW190512_180714,12.7,1.0,1
GW190513_205428,12.5,0.99998,1
GW190514_065416,8.0,0.76021,0
GW190517_055101,10.8,1.0,1
GW190519_153544,15.9,1.0,1
GW190521,14.3,0.99989,1
GW190521_074359,25.9,1.0,1
GW190527_092055,8.0,0.84784,0
GW190602_175927,13.2,1.0,1
GW190620_030421,12.1,0.98748,0
GW190630_185205,16.4,1.0,1
GW190701_203306,11.2,0.99986,1
GW190706_222641,13.4,1.0,1
GW190707_093326,13.1,1.0,1
GW190708_232457,13.4,0.99965,1
GW190719_215514,7.9,0.91976,0
GW190720_000836,10.9,1.0,1
GW190725_174728,9.1,0.96021,0
GW190727_060333,11.7,1.0,1
GW190728_064510,13.1,1.0,1
GW190731_140936,8.8,0.83427,0
GW190803_022701,9.3,0.97383,0
GW190805_211137,8.1,0.95372,0
GW190814,25.3,1.0,1
GW190828_063405,16.5,1.0,1
GW190828_065509,10.2,0.99998,1
GW190910_112807,14.5,0.99669,1
GW190915_235702,13.1,1.0,1
GW190916_200658,8.1,0.65727,0
GW190917_114630,8.3,0.76643,0
GW190924_021846,12.0,1.0,1
GW190925_232845,9.7,0.98849,0
GW190926_050336,8.1,0.54334,0
GW190929_012149,9.7,0.87042,0
GW190930_133541,9.7,0.99785,1
GW191103_012549,8.9,0.94318,0
GW191105_143521,9.7,0.99,1
GW191109_010717,17.3,0.99,1
GW191113_071753,7.9,0.68339,0
GW191126_115259,8.3,0.70041,0
GW191127_050227,9.2,0.73996,0
GW191129_134029,13.1,0.99,1
GW191204_110529,8.8,0.74239,0
GW191204_171526,17.5,0.99,1
GW191215_223052,11.2,0.99,1
GW191216_213338,18.6,0.99,1
GW191219_163120,9.1,0.8224,0
GW191222_033537,12.5,0.99,1
GW191230_180458,10.4,0.96159,0
GW200112_155838,19.8,0.99,1
GW200115_042309,11.3,0.99,1
GW200128_022011,10.6,0.99,1
GW200129_065458,26.8,0.99,1
GW200202_154313,10.8,0.99,1
GW200208_130117,10.8,0.99,1
GW200208_222617,7.4,0.70006,0
GW200209_085452,9.6,0.97236,0
GW200210_092254,8.4,0.54462,0
GW200216_220804,8.1,0.77277,0
GW200219_094415,10.7,0.99,1
GW200220_061928,7.2,0.62376,0
GW200220_124850,8.5,0.82579,0
GW200224_222234,20.0,0.99,1
GW200225_060421,12.5,0.99,1
GW200302_015811,10.8,0.90643,0
GW200306_093714,7.8,0.81156,0
GW200308_173609,7.1,0.8566,0
GW200311_115853,17.8,0.99,1
GW200316_215756,10.3,0.99,1
GW200322_091133,6.0,0.61501,0
