commonName,catalog.shortName,GPS,mass_1_source,mass_2_source,total_mass_source,final_mass_source,radiated_energy,network_matched_filter_snr,luminosity_distance,chi_eff,chirp_mass_source,redshift,p_astro
GW150914,GWTC-1-confident,1126259462.4,35.6,30.6,66.2,63.1,3.1000000000000014,26.0,440.0,-0.01,28.6,0.09,1.0
GW151012,GWTC-1-confident,1128678900.4,23.2,13.6,36.8,35.6,1.1999999999999957,10.0,1080.0,0.05,15.2,0.21,1.0
GW151226,GWTC-1-confident,1135136350.6,13.7,7.7,21.4,20.5,0.8999999999999986,13.1,450.0,0.18,8.9,0.09,1.0
GW170104,GWTC-1-confident,1167559936.6,30.8,20.0,50.8,48.9,1.8999999999999986,13.8,990.0,-0.04,21.4,0.2,1.0
GW170608,GWTC-1-confident,1180922494.5,11.0,7.6,18.6,17.8,0.8000000000000007,15.4,320.0,0.03,7.9,0.07,1.0
GW170729,GWTC-1-confident,1185389807.3,50.2,34.0,84.2,79.5,4.700000000000003,10.8,2840.0,0.37,35.4,0.49,0.98
GW170809,GWTC-1-confident,1186302519.8,35.0,23.8,58.8,56.3,2.5,12.8,1030.0,0.08,24.9,0.2,1.0
GW170814,GWTC-1-confident,1186741861.5,30.6,25.2,55.8,53.2,2.5999999999999943,17.7,600.0,0.07,24.1,0.12,1.0
GW170818,GWTC-1-confident,1187058327.1,35.4,26.7,62.099999999999994,59.4,2.6999999999999957,12.0,1060.0,-0.09,26.5,0.21,1.0
GW170823,GWTC-1-confident,1187529256.5,39.5,29.0,68.5,65.4,3.0999999999999943,12.2,1940.0,0.09,29.2,0.35,1.0
GW190408_181802,GWTC-2.1-confident,1238782700.2,24.8,18.5,43.3,41.4,1.8999999999999986,14.6,1540.0,-0.03,18.5,0.29,1.0
GW190412,GWTC-2.1-confident,1239082262.1,27.7,9.0,36.7,35.6,1.1000000000000014,19.8,720.0,0.21,13.3,0.15,1.0
GW190413_052954,GWTC-2.1-confident,1239168612.5,33.7,24.2,57.900000000000006,55.5,2.4000000000000057,9.0,3320.0,-0.04,24.5,0.56,0.9275
GW190413_134308,GWTC-2.1-confident,1239198206.7,51.3,30.4,81.69999999999999,78.0,3.6999999999999886,10.6,3800.0,-0.01,33.3,0.62,0.99058
GW190421_213856,GWTC-2.1-confident,1239917954.2,42.0,32.0,74.0,70.5,3.5,10.7,2590.0,-0.1,31.4,0.45,0.99792
GW190503_185404,GWTC-2.1-confident,1240944862.2,41.3,28.3,69.6,66.5,3.0999999999999943,12.2,1520.0,-0.05,29.3,0.29,1.0
GW190512_180714,GWTC-2.1-confident,1241719652.4,23.2,12.5,35.7,34.3,1.4000000000000057,12.7,1460.0,0.02,14.6,0.28,1.0
GW190513_205428,GWTC-2.1-confident,1241816086.7,36.0,18.3,54.3,52.1,2.1999999999999957,12.5,2210.0,0.16,21.8,0.4,0.99998
GW190517_055101,GWTC-2.1-confident,1242107479.8,39.2,24.0,63.2,60.1,3.1000000000000014,10.8,1790.0,0.49,26.5,0.33,1.0
GW190519_153544,GWTC-2.1-confident,1242315362.3,65.1,40.8,105.89999999999999,100.0,5.8999999999999915,15.9,2600.0,0.33,44.3,0.45,1.0
GW190521,GWTC-2.1-confident,1242442967.4,98.4,57.2,155.60000000000002,147.4,8.200000000000017,14.3,3310.0,-0.14,63.3,0.56,0.99989
GW190521_074359,GWTC-2.1-confident,1242459857.4,43.4,33.4,76.8,72.6,4.200000000000003,25.9,1080.0,0.1,32.8,0.21,1.0
GW190527_092055,GWTC-2.1-confident,1242984073.7,35.6,22.2,57.8,55.5,2.299999999999997,8.0,2520.0,0.1,23.9,0.44,0.84784
GW190602_175927,GWTC-2.1-confident,1243533585.0,71.8,44.8,116.6,110.5,6.099999999999994,13.2,2840.0,0.12,48.0,0.49,1.0
